movie,processed_movie,expanded-genres,Associated Music Genres
   The Lorax (2012),the lorax,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Monsters vs. Aliens,monsters vs. aliens,"Animation, Action, Adventure","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Snowpiercer (2013),snowpiercer,"Action, Drama, Sci-Fi","piano,indie-pop,rock,dubstep,synth-pop,singer-songwriter,synthwave,retro,acoustic,ambient,hard-rock,space,metal,chill,electronic,punk,drum-and-bass,alternative,indie"
   Marie Antoinette (2006),marie antoinette,"Biography, Drama, History","acoustic,country,folk,piano,ambient,classical,pop,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
   Love Actually (2003),love actually,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   G.O.R.A. (2004),g.o.r.a.,"Adventure, Comedy, Sci-Fi","acoustic,folk,ambient,chill,synth-pop,retro,synthwave,space,new-age,alternative,world-music,electronic,rock"
   Citizen Kane (1941),citizen kane,"Drama, Mystery","acoustic,piano,chill,ambient,singer-songwriter,synthwave,rock,indie-pop,downtempo,alternative,dark-ambient,trip-hop,electronic,indie"
   Dazed and Confused (1993),dazed and confused,,"trance,indie,jazz,soul,pop"
   Dirty Harry,dirty harry,"Action, Crime, Thriller","punk,reggae,dubstep,hard-rock,ambient,synthwave,trap,drum-and-bass,dark-ambient,grime,hip-hop,rock,metal,chill,electronic"
   Tall Girl (2019),tall girl,"Comedy, Drama, Family","acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
   Fifty Shades of Grey,fifty shades of grey,"Drama, Romance, Thriller","piano,pop,indie-pop,folk,dubstep,singer-songwriter,synthwave,dark-ambient,acoustic,ambient,chill,electronic,alternative,romantic,drum-and-bass,rock,r-n-b,indie,soul"
   The Aeronauts,the aeronauts,"Action, Adventure, Drama","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   The Black Cauldron (1985),the black cauldron,"Animation, Action, Adventure","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   The Host (2006),the host,"Action, Adventure, Drama","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   The King (2019),the king,"Action, Crime, Drama","acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   The Cat in the Hat (2003),the cat in the hat,"Adventure, Comedy, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   Aladdin (2019),aladdin,"Adventure, Comedy, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   American History X (1998),american history x,"Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   The Secret Garden (1993),the secret garden,"Drama, Family, Fantasy","acoustic,piano,folk,ambient,children,pop,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,kids,world-music,alternative,upbeat,indie,fun"
   Open Season (2006),open season,"Action, Drama, Thriller","acoustic,piano,punk,ambient,dubstep,hard-rock,alternative,singer-songwriter,synthwave,indie-pop,drum-and-bass,dark-ambient,rock,metal,chill,electronic,indie"
   Halloween (1978),halloween,"Horror, Thriller","darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   I Am Mother (2019),i am mother,"Drama, Mystery, Sci-Fi","acoustic,piano,chill,ambient,synth-pop,singer-songwriter,synthwave,retro,rock,indie-pop,downtempo,space,alternative,dark-ambient,trip-hop,electronic,indie"
   Ghostbusters (1984),ghostbusters,"Action, Comedy, Fantasy","folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,rock,metal,world-music,electronic"
   Holidate,holidate,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Magnolia (1999),magnolia,"Drama, Family, Romance","acoustic,piano,folk,children,pop,romantic,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,r-n-b,indie,fun,soul"
   The Purge,the purge,"Horror, Sci-Fi, Thriller","darkwave,ambient,dubstep,synth-pop,retro,synthwave,space,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   The Spy Who Dumped Me (2018),the spy who dumped me,"Action, Adventure, Comedy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   How The Grinch Stole Christmas (2000),how the grinch stole christmas,"Comedy, Family, Fantasy","folk,ambient,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,world-music,alternative,upbeat,rock,fun"
   This Is England (2006),this is england,"Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Hustlers (2019),hustlers,"Comedy, Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Home on the Range (2004),home on the range,"Action, Drama, Romance","acoustic,piano,punk,r-n-b,dubstep,hard-rock,alternative,folk,romantic,pop,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie,soul"
   Hacksaw Ridge (2016),hacksaw ridge,"Biography, Drama, History","acoustic,country,folk,piano,ambient,classical,pop,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
   The Lego Batman Movie (2017),the lego batman movie,"Animation, Action, Adventure","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Big Fish (2003),big fish,"Adventure, Drama, Fantasy","acoustic,indie,folk,ambient,piano,epic-fantasy,singer-songwriter,soundtrack,indie-pop,new-age,alternative,world-music,rock"
   Lord of War (2005),lord of war,"Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   We're The Millers (2013),we're the millers,"Comedy, Crime","reggae,dubstep,trap,drum-and-bass,grime,hip-hop,electronic"
   The Poseidon Adventure (1972),the poseidon adventure,"Action, Adventure, Drama","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   Meet the Parents (2000),meet the parents,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Twilight,twilight,"Drama, Fantasy, Romance","acoustic,piano,folk,ambient,romantic,epic-fantasy,singer-songwriter,soundtrack,pop,rock,indie-pop,alternative,world-music,r-n-b,indie,soul"
   The Spectacular Now (2013),the spectacular now,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
"   Love, Simon (2018)","love, simon","Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
"   O Brother, Where Art Thou? (2000)","o brother, where art thou?","Adventure, Comedy, Crime","acoustic,folk,ambient,reggae,dubstep,trap,drum-and-bass,grime,hip-hop,new-age,alternative,world-music,electronic,rock"
   BlacKkKlansman (2018),blackkklansman,"Biography, Comedy, Crime","acoustic,country,folk,reggae,dubstep,pop,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,electronic,indie"
   Young Guns,young guns,"Action, Western","acoustic,country,folk,punk,dubstep,hard-rock,bluegrass,blues,alternative,drum-and-bass,rock,metal,electronic"
   Mermaids (1990),mermaids,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Game Night (2018),game night,"Action, Adventure, Comedy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Unforgiven (1992),unforgiven,"Action, Crime, Drama","acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Easy Rider,easy rider,"Adventure, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   A Beautiful Mind (2001),a beautiful mind,"Biography, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   The Devil All the Time (2020),the devil all the time,"Crime, Drama, Thriller","acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   A League of Their Own (1992),a league of their own,"Comedy, Drama, Sport","acoustic,piano,edm,pop,singer-songwriter,rock,indie-pop,pump-up,hip-hop,alternative,dance,electronic,indie"
   Lawless (2012),lawless,"Biography, Crime, Drama","acoustic,country,folk,reggae,piano,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Road to Perdition (2002),road to perdition,"Crime, Drama, Thriller","acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   The Boxtrolls (2014),the boxtrolls,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Ghostbusters (2016),ghostbusters,"Action, Comedy, Fantasy","folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,rock,metal,world-music,electronic"
   Spring Breakers (2012),spring breakers,"Crime, Drama, Thriller","acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   Bad Times at the El Royale (2018),bad times at the el royale,"Crime, Drama, Mystery","piano,downtempo,indie-pop,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,acoustic,reggae,ambient,trap,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   Meet the Robinsons (2007),meet the robinsons,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Thumbelina (1994),thumbelina,"Animation, Adventure, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   A Christmas Prince (Trilogy),a christmas prince,"Comedy, Family, Romance","folk,children,pop,romantic,singer-songwriter,kids,upbeat,r-n-b,indie,fun,soul"
   The Secret of NIMH (1982),the secret of nimh,"Animation, Adventure, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Little Women (1994),little women,"Drama, Family, Romance","acoustic,piano,folk,children,pop,romantic,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,r-n-b,indie,fun,soul"
   Some Like It Hot (1959),some like it hot,"Comedy, Music, Romance","jazz,folk,funk,blues,pop,romantic,singer-songwriter,hip-hop,r-n-b,indie,soul"
   Horrible Bosses (2011),horrible bosses,"Comedy, Crime","reggae,dubstep,trap,drum-and-bass,grime,hip-hop,electronic"
   The King's Speech (2010),the king's speech,"Biography, Drama, History","acoustic,country,folk,piano,ambient,classical,pop,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
   Batman (1989-1992),batman,"Action, Adventure","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   The Invisible Man (2020),the invisible man,"Drama, Horror, Mystery","acoustic,darkwave,piano,ambient,chill,metal,singer-songwriter,synthwave,rock,indie-pop,downtempo,noise,alternative,dark-ambient,trip-hop,electronic,indie,industrial"
   Babe (1995),babe,"Comedy, Drama, Family","acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
   Final Destination (2000),final destination,"Horror, Thriller","darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   The Goonies (1985),the goonies,"Adventure, Comedy, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   Galaxy Quest (1999),galaxy quest,"Adventure, Comedy, Sci-Fi","acoustic,folk,ambient,chill,synth-pop,retro,synthwave,space,new-age,alternative,world-music,electronic,rock"
   Heat (1995),heat,"Action, Crime, Drama","acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Coming to America (1988),coming to america,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Homeward Bound (1993),homeward bound,"Adventure, Drama, Romance","acoustic,indie,folk,ambient,piano,romantic,pop,singer-songwriter,indie-pop,new-age,alternative,world-music,r-n-b,rock,soul"
   Barry Lyndon (1975),barry lyndon,"Adventure, Drama, War","acoustic,indie,folk,ambient,piano,patriotic,punk,soundtrack,singer-songwriter,indie-pop,new-age,alternative,metal,world-music,rock"
   Pet Sematary (2019),pet sematary,"Fantasy, Horror, Thriller","darkwave,folk,ambient,chill,dubstep,metal,soundtrack,epic-fantasy,synthwave,drum-and-bass,noise,alternative,dark-ambient,world-music,electronic,rock,industrial"
   Alice in Wonderland (2010),alice in wonderland,"Adventure, Family, Fantasy","acoustic,folk,ambient,upbeat,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,new-age,alternative,world-music,rock,fun"
   Legally Blonde (2001),legally blonde,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Sister Act (1992),sister act,"Comedy, Family, Music","jazz,folk,children,funk,blues,pop,singer-songwriter,kids,hip-hop,upbeat,r-n-b,fun,soul"
   Into the Woods (2014),into the woods,"Adventure, Comedy, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Beauty and the Beast (2017),beauty and the beast,"Adventure, Family, Fantasy","acoustic,folk,ambient,upbeat,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,new-age,alternative,world-music,rock,fun"
   James Bond,james bond,"Action, Comedy","punk,dubstep,hard-rock,drum-and-bass,rock,metal,electronic"
   House of 1000 Corpses (2003),house of 1000 corpses,Horror,"darkwave,ambient,dark-ambient,noise,metal,electronic,industrial"
   Idiocracy (2006),idiocracy,"Adventure, Comedy, Sci-Fi","acoustic,folk,ambient,chill,synth-pop,retro,synthwave,space,new-age,alternative,world-music,electronic,rock"
   Never Back Down (2008),never back down,"Action, Drama, Sport","acoustic,piano,punk,edm,dubstep,hard-rock,alternative,dance,pop,singer-songwriter,indie-pop,drum-and-bass,pump-up,hip-hop,rock,metal,electronic,indie"
   Pineapple Express (2008),pineapple express,"Action, Comedy, Crime","punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   Raising Arizona (1987),raising arizona,"Comedy, Crime","reggae,dubstep,trap,drum-and-bass,grime,hip-hop,electronic"
   Hoodwinked! (2005),hoodwinked!,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Chronicle (2012),chronicle,"Action, Drama, Sci-Fi","piano,indie-pop,rock,dubstep,synth-pop,singer-songwriter,synthwave,retro,acoustic,ambient,hard-rock,space,metal,chill,electronic,punk,drum-and-bass,alternative,indie"
   Boys Don't Cry (1999),boys don't cry,"Biography, Crime, Drama","acoustic,country,folk,reggae,piano,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Marriage Story (2019),marriage story,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Just Go with It (2011),just go with it,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Secret Window (2004),secret window,"Drama, Mystery, Thriller","acoustic,piano,chill,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,downtempo,drum-and-bass,alternative,dark-ambient,trip-hop,electronic,indie"
   Scary Movie,scary movie,"Comedy, Horror, Thriller","darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   Trolls World Tour,trolls world tour,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   A Bronx Tale (1993),a bronx tale,"Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
